iter	Passed	Remaining
708	43237	32016
709	43294	31952
710	43351	31888
711	43405	31822
712	43460	31757
713	43521	31696
714	43574	31629
715	43627	31563
716	43686	31500
717	43745	31438
718	43804	31375
719	43859	31310
720	43917	31248
721	43976	31185
722	44030	31120
723	44085	31054
724	44141	30990
725	44202	30929
726	44260	30866
727	44318	30803
728	44374	30739
729	44431	30676
730	44483	30608
731	44533	30540
732	44586	30474
733	44642	30410
734	44704	30350
735	44761	30287
736	44821	30225
737	44881	30164
738	44940	30102
739	45007	30045
740	45067	29984
741	45126	29922
742	45186	29860
743	45243	29797
744	45306	29737
745	45368	29678
746	45429	29617
747	45486	29553
748	45545	29491
749	45600	29427
750	45656	29363
751	45716	29302
752	45780	29243
753	45841	29182
754	45900	29120
755	45958	29058
756	46018	28997
757	46074	28933
758	46130	28869
759	46185	28805
760	46237	28738
761	46286	28670
762	46338	28604
763	46392	28540
764	46448	28476
765	46504	28412
766	46560	28348
767	46616	28285
768	46673	28222
769	46732	28160
770	46789	28097
771	46852	28038
772	46907	27974
773	46962	27910
774	47017	27846
775	47071	27782
776	47128	27718
777	47186	27656
778	47239	27591
779	47292	27526
780	47350	27464
781	47402	27399
782	47461	27337
783	47516	27273
784	47568	27207
785	47624	27145
786	47681	27082
787	47744	27022
788	47803	26961
789	47849	26892
790	47897	26825
791	47951	26760
792	48021	26705
793	48112	26662
794	48197	26614
795	48281	26567
796	48363	26518
797	48442	26467
798	48537	26425
799	48619	26376
800	48685	26318
801	48754	26261
802	48817	26202
803	48875	26139
804	48931	26076
805	48991	26015
806	49049	25953
807	49109	25891
808	49166	25829
809	49223	25766
810	49279	25703
811	49337	25640
812	49386	25573
813	49443	25511
814	49520	25458
815	49601	25408
816	49682	25358
817	49745	25298
818	49798	25233
819	49857	25172
820	49937	25121
821	50010	25066
822	50075	25007
823	50130	24943
824	50187	24880
825	50259	24825
826	50334	24771
827	50392	24709
828	50471	24657
829	50537	24598
830	50647	24562
831	50702	24498
832	50753	24432
833	50802	24365
834	50852	24299
835	50927	24245
836	50980	24180
837	51031	24115
838	51086	24051
839	51145	23989
840	51218	23934
841	51278	23873
842	51334	23810
843	51393	23748
844	51449	23684
845	51534	23635
846	51605	23578
847	51670	23519
848	51748	23466
849	51796	23399
850	51847	23334
851	51899	23269
852	51958	23207
853	52025	23149
854	52100	23094
855	52160	23033
856	52218	22971
857	52274	22908
858	52336	22847
859	52400	22788
860	52471	22731
861	52527	22668
862	52578	22603
863	52661	22551
864	52738	22497
865	52797	22436
866	52857	22374
867	52926	22316
868	52995	22259
869	53073	22205
870	53136	22145
871	53201	22085
872	53260	22024
873	53313	21959
874	53364	21894
875	53415	21829
876	53476	21768
877	53539	21708
878	53599	21647
879	53660	21586
880	53721	21525
881	53776	21461
882	53831	21398
883	53884	21334
884	53935	21269
885	53986	21204
886	54042	21141
887	54100	21079
888	54155	21016
889	54211	20953
890	54264	20889
891	54317	20825
892	54392	20770
893	54477	20718
894	54562	20666
895	54631	20608
896	54697	20549
897	54754	20487
898	54811	20424
899	54866	20361
900	54920	20298
901	54972	20233
902	55024	20169
903	55082	20107
904	55140	20045
905	55197	19983
906	55253	19920
907	55307	19857
908	55364	19794
909	55423	19733
910	55482	19671
911	55539	19609
912	55591	19545
913	55647	19482
914	55710	19422
915	55767	19360
916	55819	19296
917	55877	19234
918	55933	19172
919	55992	19110
920	56050	19048
921	56107	18986
922	56165	18924
923	56220	18861
924	56278	18800
925	56333	18737
926	56390	18675
927	56447	18612
928	56505	18551
929	56561	18488
930	56624	18428
931	56684	18367
932	56739	18305
933	56796	18243
934	56855	18181
935	56917	18121
936	56976	18059
937	57038	17999
938	57114	17943
939	57178	17883
940	57244	17824
941	57298	17761
942	57355	17699
943	57412	17637
944	57468	17574
945	57522	17512
946	57574	17448
947	57642	17389
948	57700	17328
949	57763	17268
950	57822	17206
951	57878	17144
952	57936	17083
953	57990	17020
954	58047	16958
955	58103	16896
956	58161	16834
957	58221	16773
958	58278	16711
959	58336	16650
960	58390	16587
961	58447	16525
962	58503	16463
963	58559	16401
964	58616	16339
965	58677	16278
966	58732	16216
967	58785	16153
968	58840	16091
969	58898	16030
970	58953	15967
971	59008	15905
972	59064	15843
973	59113	15779
974	59173	15718
975	59229	15657
976	59287	15595
977	59342	15533
978	59397	15471
979	59452	15409
980	59508	15347
981	59565	15285
982	59620	15223
983	59681	15162
984	59738	15101
985	59795	15039
986	59850	14977
987	59904	14915
988	59959	14853
989	60016	14791
990	60072	14730
991	60128	14668
992	60184	14606
993	60241	14545
994	60296	14483
995	60354	14422
996	60412	14360
997	60470	14299
998	60526	14237
999	60580	14175
1000	60639	14114
1001	60698	14053
1002	60752	13991
1003	60807	13929
1004	60861	13867
1005	60916	13806
1006	60970	13744
1007	61024	13682
1008	61080	13620
1009	61137	13559
1010	61193	13497
1011	61278	13442
1012	61335	13381
1013	61391	13319
1014	61448	13258
1015	61505	13197
1016	61558	13134
1017	61613	13073
1018	61673	13012
1019	61729	12951
1020	61785	12889
1021	61841	12828
1022	61896	12766
1023	61951	12704
1024	62007	12643
1025	62063	12582
1026	62118	12520
1027	62179	12460
1028	62238	12399
1029	62295	12338
1030	62354	12277
1031	62400	12214
1032	62453	12152
1033	62510	12090
1034	62567	12029
1035	62624	11968
1036	62678	11907
1037	62728	11844
1038	62784	11783
1039	62838	11721
1040	62893	11660
1041	62948	11598
1042	63002	11537
1043	63058	11476
1044	63114	11414
1045	63167	11353
1046	63217	11290
1047	63268	11228
1048	63322	11167
1049	63377	11106
1050	63440	11046
1051	63502	10986
1052	63556	10924
1053	63612	10863
1054	63674	10803
1055	63728	10742
1056	63782	10680
1057	63839	10619
1058	63898	10559
1059	63951	10497
1060	64006	10436
1061	64062	10375
1062	64119	10314
1063	64176	10253
1064	64229	10192
1065	64282	10130
1066	64340	10070
1067	64396	10009
1068	64452	9948
1069	64507	9887
1070	64559	9825
1071	64618	9765
1072	64682	9705
1073	64738	9644
1074	64794	9583
1075	64850	9522
1076	64904	9461
1077	64960	9400
1078	65014	9339
1079	65068	9278
1080	65122	9217
1081	65177	9156
1082	65233	9095
1083	65300	9036
1084	65356	8975
1085	65410	8914
1086	65464	8853
1087	65516	8791
1088	65569	8730
1089	65629	8670
1090	65683	8609
1091	65735	8548
1092	65791	8487
1093	65847	8426
1094	65899	8365
1095	65955	8304
1096	66011	8243
1097	66066	8183
1098	66121	8122
1099	66173	8061
1100	66227	8000
1101	66284	7939
1102	66339	7878
1103	66395	7818
1104	66453	7757
1105	66508	7697
1106	66563	7636
1107	66626	7576
1108	66684	7516
1109	66739	7455
1110	66786	7394
1111	66841	7333
1112	66893	7272
1113	66955	7212
1114	67015	7152
1115	67070	7091
1116	67124	7030
1117	67175	6969
1118	67229	6909
1119	67284	6848
1120	67339	6788
1121	67401	6728
1122	67449	6666
1123	67495	6605
1124	67542	6544
1125	67601	6483
1126	67659	6423
1127	67709	6362
1128	67766	6302
1129	67825	6242
1130	67872	6181
1131	67919	6119
1132	67974	6059
1133	68030	5999
1134	68083	5938
1135	68141	5878
1136	68198	5818
1137	68246	5757
1138	68295	5696
1139	68348	5635
1140	68406	5575
1141	68526	5520
1142	68587	5460
1143	68647	5400
1144	68708	5340
1145	68768	5280
1146	68824	5220
1147	68881	5160
1148	68939	5099
1149	68994	5039
1150	69050	4979
1151	69106	4919
1152	69161	4858
1153	69216	4798
1154	69267	4737
1155	69323	4677
